K5PS14_2.PV;K5T6.PV;K5P10.PV;K5LCV1I.PV;K5F5.PV;K5T14.PV;K5TCV2I.PV;K5F6X.PV;K5T15.PV;K5P8.PV;K5T17.PV
4.276575;176.4787;4.2915;51.6725;37.54296;364.7344;41.67469;30.94117;122.905;3.992662;133.3825
4.255519;170.2725;4.231094;44.76875;32.50561;354.7556;30.96062;27.06859;117.1263;3.972225;133.3813
4.253438;170.2875;4.23;44.77187;32.4821;354.8438;30.93281;27.07663;117.1438;3.970313;133.3813
4.258781;177.7637;4.277062;53.015;37.72447;364.7513;41.68656;30.54105;122.35;3.974494;133.3781
4.252181;170.2538;4.233031;44.78094;32.52658;354.7312;30.95969;27.00706;117.1488;3.965925;133.3775
4.209337;170.6888;4.198937;45.79688;33.13057;355.2225;30.68625;27.43024;122.1113;3.936319;133.3756
4.245656;176.8412;4.274906;53.38437;38.44392;367.3406;41.6625;32.59909;121.0175;3.959025;133.375
4.243087;173.07;4.245125;48.11187;35.69891;359.2706;40.1875;29.009;122.32;3.961594;133.3731
4.239975;176.7188;4.240125;50.17969;35.63221;365.5556;41.68;31.16766;122.5175;3.950906;133.3719
4.24365;173.1087;4.24575;48.11563;35.69217;359.355;40.16562;28.9477;122.3538;3.964294;133.3706
4.239806;176.8038;4.248406;50.49969;36.32421;365.5706;41.68406;31.01825;122.4938;3.949763;133.3681
4.243237;176.98;4.253469;50.16906;36.51835;365.1187;41.66468;31.06309;122.5875;3.966131;133.3669
4.2615;170.2312;4.232187;44.78687;32.40139;355.1344;30.94687;27.15904;117.0238;3.977194;133.3625
4.204988;178.2625;4.254031;57.44188;40.92678;365.5275;41.65469;33.63444;122.2113;3.931069;133.3625
4.25115;170.1637;4.233937;44.7775;32.72883;354.33;30.95281;27.1624;117.185;3.967931;133.3619
4.241625;173.0437;4.245937;48.1175;35.7628;359.0812;40.18094;29.08526;122.35;3.957937;133.3613
4.214906;176.9413;4.242343;50.8675;37.43837;367.9425;41.65375;32.9886;121.7838;3.937106;133.3606
4.274662;176.2825;4.282656;50.10781;36.26331;365.8594;41.67344;30.97562;122.545;3.990131;133.3587
4.249125;170.0713;4.225219;44.77562;32.71529;354.1706;30.92094;27.05135;117.2475;3.967631;133.3575
4.250344;170.1787;4.228156;44.76437;32.68303;354.2175;30.95094;27.17861;117.2425;3.966113;133.3569
4.275675;175.825;4.278375;50.26969;36.07408;365.4131;41.6775;31.2753;122.8312;3.988331;133.3544
4.274175;175.9075;4.279625;50.54844;36.25196;365.3006;41.6675;31.19803;122.7838;3.988913;133.3519
4.240387;172.88;4.240625;48.11875;35.77889;358.8581;40.14563;28.98682;122.39;3.953006;133.3519
4.252125;170.2563;4.234062;44.775;32.60279;354.4125;30.92875;26.99657;117.25;3.966938;133.35
4.239882;176.67;4.241781;50.16875;35.64258;365.5369;41.67781;31.07831;122.4425;3.954019;133.35
4.268081;176.695;4.268625;48.84063;35.69237;365.4262;41.68281;31.18501;121.8288;3.978188;133.3494
4.211287;170.7075;4.191688;44.325;32.82002;355.4475;30.68406;27.42205;122.0575;3.931594;133.3412
4.253644;173.3862;4.253125;47.37812;34.98596;360.4012;40.15937;29.48383;122.2162;3.9744;133.3406
4.274906;175.905;4.281125;50.25937;36.14801;365.2856;41.66312;31.18524;122.8288;3.98535;133.3388
4.274625;175.885;4.284594;50.26875;36.2115;365.2762;41.69875;31.32467;122.7937;3.981319;133.3387
4.270519;176.0437;4.279188;52.01375;36.58564;365.3925;41.67125;31.13644;122.8538;3.98595;133.3381
4.250231;173.38;4.247188;47.57594;35.01899;360.2362;40.17375;29.28656;122.2462;3.967556;133.3381
4.271869;175.99;4.278937;51.99438;36.60509;365.5069;41.70937;31.14923;122.865;3.988744;133.3369
4.258425;177.6962;4.272219;52.64281;37.67391;364.5394;41.70531;30.39176;122.37;3.977494;133.3338
4.274044;176.2325;4.282906;50.09312;36.41303;365.9831;41.66594;30.88173;122.48;3.989231;133.3338
4.274513;175.74;4.275156;50.27125;36.1454;365.2762;41.68156;31.21455;122.8337;3.990469;133.3325
4.255069;173.3938;4.255688;47.38031;34.9649;360.5419;40.19844;29.50575;122.1588;3.974775;133.3313
4.270219;176.105;4.278531;51.99844;36.54884;365.1919;41.67188;31.0523;122.8112;3.987806;133.3294
4.248056;170.0475;4.228594;45.24187;32.68724;354.1481;30.94062;26.95641;117.2462;3.963131;133.3269
4.275638;175.8488;4.281437;50.27156;36.14741;365.2913;41.67844;31.20131;122.815;3.989213;133.3269
4.246556;176.815;4.277469;53.39344;38.42025;367.2844;41.66813;32.74645;121.0813;3.965231;133.3262
4.270256;176.1;4.279156;52.01281;36.61943;365.175;41.66625;31.01604;122.795;3.985631;133.3262
4.262887;170.2162;4.243406;45.27469;32.42271;355.1981;30.9375;27.15613;117.06;3.980813;133.3231
4.273857;176.23;4.28;50.10031;36.36807;365.8931;41.67937;30.99416;122.5625;3.99045;133.3231
4.276519;176.47;4.288063;50.93093;37.39602;364.7156;41.66375;30.87046;122.9475;3.994912;133.3231
4.271644;176.14;4.275437;51.94688;36.58184;365.1412;41.67562;31.24467;122.82;3.992512;133.3225
4.243312;176.9438;4.25175;50.18375;36.61009;365.145;41.68031;31.15198;122.5975;3.9582;133.3213
4.244381;176.9888;4.254844;50.52937;36.61261;365.2706;41.68281;31.09214;122.6175;3.954881;133.3212
4.205213;178.2375;4.257531;57.64594;40.92182;365.5237;41.65531;33.53069;122.2487;3.931669;133.3194
4.2669;176.5837;4.270031;48.23125;35.72252;365.3231;41.69156;31.02853;121.885;3.976763;133.3175
4.271438;176.17;4.281094;51.10062;36.78366;365.3381;41.68406;31.26023;122.7913;3.985481;133.3156
4.237913;172.835;4.239188;48.11219;35.77745;358.8712;40.16906;28.94736;122.3988;3.96045;133.3119
4.236131;176.6288;4.237437;49.38313;35.67137;365.7487;41.68;31.12486;122.4287;3.94935;133.3112
4.260262;179.5988;4.302813;56.46781;40.38825;366.6619;41.67813;33.15414;122.7288;3.9777;133.3106
4.237275;176.5737;4.237813;49.50281;35.6571;365.6288;41.68469;30.9714;122.3887;3.957412;133.3094
4.195837;169.3975;4.183781;45.02063;33.25512;353.7919;20.42969;26.34435;122.1325;3.916969;133.3081
4.272038;176.1487;4.279562;50.91813;36.60348;365.1938;41.67937;31.28154;122.7988;3.985369;133.3069
4.246481;170.03;4.223594;45.59531;32.66743;354.0581;30.96625;27.04435;117.3187;3.967069;133.3013
4.21305;176.8412;4.232563;50.87062;37.37961;367.95;41.67906;32.9074;121.6975;3.936975;133.3006
4.215562;170.7563;4.19;44.325;32.78081;355.3781;31.49344;27.83177;122.125;3.924094;133.3006
4.245019;169.9487;4.229781;45.59063;32.69317;354.1256;30.93281;27.06705;117.2975;3.960712;133.3
4.276688;175.6525;4.285094;50.26875;36.2952;365.3662;41.69906;30.99976;122.72;3.990694;133.3
4.276556;176.4475;4.29175;50.64031;37.33546;364.7006;41.67406;30.77374;122.955;3.99285;133.2988
4.276088;175.6263;4.283437;50.25813;36.26968;365.385;41.66531;30.96312;122.7475;3.988331;133.2988
4.272694;176.1638;4.274188;50.1;36.37347;366.0806;41.7;30.89191;122.49;3.988031;133.2969
4.274231;175.705;4.275281;50.2725;36.14178;365.1881;41.67469;31.06242;122.7575;3.984581;133.295
4.278375;175.5388;4.286594;50.25813;36.36509;364.9519;41.68375;30.98756;122.735;3.991875;133.2937
