K0P102_1.PV;K5T16.PV
4.062744;94.87865
4.03955;94.87906
4.123741;94.87906
4.030684;94.87948
4.03791;94.87968
4.08076;94.88062
4.095331;94.88114
4.084022;94.88198
4.002156;94.8825
4.044806;94.88271
4.03936;94.88271
4.007647;94.88281
4.063447;94.88292
4.150859;94.88313
4.044687;94.88344
4.028709;94.88386
4.049844;94.88416
4.018272;94.88427
4.049419;94.88438
4.093978;94.8849
4.084163;94.8851
4.047781;94.88521
4.083888;94.88573
4.09455;94.88573
4.105369;94.88718
4.071022;94.8875
4.095759;94.88781
4.079778;94.88802
4.081972;94.88844
4.082525;94.88844
4.077409;94.88885
4.043475;94.88895
4.008462;94.88896
4.12956;94.88906
4.10455;94.88937
4.104887;94.88958
4.041578;94.88969
4.033903;94.88979
4.098303;94.89042
4.07605;94.89063
4.119887;94.89135
4.053963;94.89146
4.113475;94.89146
4.014697;94.8924
4.065769;94.89271
4.09656;94.89271
4.081388;94.89281
4.051872;94.89313
4.029963;94.89365
4.052569;94.89417
4.0939;94.89417
4.099703;94.89468
4.125619;94.89468
4.025516;94.89552
4.040219;94.89635
4.104281;94.89635
4.104822;94.89656
4.101231;94.89656
4.045916;94.89698
4.051659;94.89708
4.039119;94.89719
4.023097;94.89729
4.084081;94.89761
4.071228;94.89792
4.048287;94.89802
4.030772;94.89812
4.009184;94.89812
4.037969;94.89823
4.12081;94.89896
4.083169;94.89916
4.030591;94.89927
4.064456;94.89979
4.094959;94.90021
4.01685;94.90041
4.093291;94.90041
4.097737;94.90052
4.119322;94.90073
4.091588;94.90083
4.011284;94.90094
4.032535;94.90156
4.046809;94.90166
4.009972;94.90198
4.03614;94.90302
4.132653;94.90323
4.106878;94.90354
