K5PS14_2.PV;K5P10.PV
4.272259;4.264526
4.272216;4.263292
4.272172;4.287667
4.272153;4.27139
4.27215;4.281557
4.272106;4.259771
4.272097;4.289515
4.272084;4.262375
4.272066;4.266031
4.272019;4.267068
4.271941;4.278062
4.271919;4.266891
4.271803;4.2645
4.271766;4.275385
4.271716;4.283698
4.271709;4.260927
4.271703;4.276182
4.27165;4.266094
4.271606;4.265208
4.271585;4.267844
4.271575;4.26624
4.271556;4.264989
4.271547;4.254203
4.271462;4.264313
4.271456;4.264641
4.271366;4.279562
4.271359;4.268396
4.271309;4.269214
4.271294;4.257932
4.271269;4.26439
4.271256;4.277245
4.27125;4.26338
4.271225;4.282245
4.271225;4.281042
4.271187;4.296083
4.271187;4.267614
4.271178;4.298511
4.271156;4.267083
4.271138;4.275297
4.271119;4.255375
4.271091;4.265172
4.271081;4.282104
4.271019;4.274729
4.270975;4.272745
4.270972;4.258958
4.270947;4.282047
4.270931;4.270026
4.270909;4.280188
4.270906;4.264646
4.270897;4.281958
4.270803;4.268849
4.270797;4.265719
4.270744;4.252745
4.270734;4.276047
4.270731;4.274188
4.270728;4.269166
4.270725;4.298682
4.270712;4.27749
4.270684;4.261109
4.270678;4.287932
4.270653;4.261516
4.270631;4.262042
4.270628;4.271312
4.270556;4.274817
4.270556;4.260078
4.27055;4.258323
4.27055;4.281005
4.270547;4.264917
4.270522;4.289995
4.270519;4.253833
4.270513;4.270339
4.270509;4.265985
4.270506;4.263703
4.2705;4.261203
4.270478;4.276333
4.270441;4.260745
4.270434;4.251682
4.270425;4.262141
4.270356;4.27286
4.270344;4.276703
4.270338;4.260063
4.270306;4.268568
4.270284;4.266375
4.270269;4.259386
4.270269;4.258714
4.270244;4.264573
4.270209;4.256724
4.270209;4.267526
4.270187;4.271281
4.270147;4.26324
4.270134;4.275765
4.270131;4.277344
4.270119;4.263484
4.270103;4.257396
4.270066;4.264651
4.270047;4.262443
4.270006;4.253318
4.27;4.259823
4.269988;4.273667
4.269988;4.287339
4.269906;4.268161
4.269906;4.262849
4.2699;4.254838
4.269894;4.266438
4.269847;4.260604
4.269841;4.275563
4.269766;4.274307
4.269747;4.255021
4.269738;4.303068
4.269716;4.25937
4.269684;4.24762
4.26965;4.260073
4.269634;4.256339
4.269619;4.264922
4.269584;4.26089
4.269559;4.257167
4.269556;4.289609
4.26955;4.255021
4.269537;4.264469
4.269535;4.281583
4.269525;4.251114
4.269491;4.26338
4.269481;4.255339
4.269459;4.26863
4.269415;4.298536
4.269381;4.281031
4.269356;4.258927
4.269356;4.290401
4.269334;4.252432
4.269331;4.264281
4.269278;4.258406
4.269262;4.261745
4.269216;4.255234
4.269122;4.292505
4.269113;4.26787
4.269078;4.258714
4.269078;4.267193
4.269075;4.250193
4.269075;4.269573
4.269019;4.273401
4.26901;4.265359
4.26901;4.271417
4.268994;4.257042
4.268919;4.277041
4.268875;4.277141
4.268869;4.262558
4.268809;4.266865
4.268803;4.269042
4.268791;4.246552
4.268765;4.266078
4.268763;4.260484
4.268741;4.298037
4.268731;4.26413
4.268731;4.287578
4.268706;4.264974
4.2687;4.269911
4.268666;4.262901
4.268666;4.27224
4.268656;4.278766
4.268644;4.240161
4.268594;4.254271
4.268509;4.269057
4.268472;4.253099
4.268469;4.265735
4.268415;4.279349
4.268397;4.252354
4.268394;4.255271
4.268347;4.283406
4.268337;4.255552
4.268334;4.277484
4.268297;4.286583
4.268297;4.266135
4.268294;4.279808
4.268291;4.279735
4.26826;4.302036
4.268256;4.271495
4.268253;4.271797
4.268244;4.259432
4.268216;4.267875
4.268209;4.251682
4.268175;4.264042
4.268156;4.297828
4.268147;4.269834
