K5PC5CH.OP;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T8_3.PV;K5T10_2.PV
44.73406;123.8109;86.72021;55.96786;109.2044;99.19334
44.89677;123.5923;85.93625;55.95151;108.8881;99.19323
44.82542;123.5633;86.15021;55.96563;108.873;99.19292
43.8726;122.731;84.30917;54.85083;108.5365;99.1899
43.52505;123.3677;87.35979;54.92219;109.5631;99.18855
43.59787;123.5189;87.28188;54.94219;109.5387;99.18708
37.01104;121.5924;81.28709;49.23396;114.5376;99.18344
32.19745;119.8632;77.37229;44.16714;114.2656;99.17937
43.85359;122.8075;84.56875;54.85677;108.559;99.17594
44.90828;124.1844;87.56917;56.02896;109.4941;99.175
39.77922;121.0477;82.59458;51.66265;110.4352;99.17073
44.94781;123.5021;86.26791;55.95656;108.9141;99.1651
32.94151;119.7094;77.67292;45.4124;115.6567;99.16386
44.76005;123.4583;85.90041;55.94031;108.6648;99.16354
44.80469;123.5222;85.95042;55.93917;108.7036;99.16312
44.07104;122.8615;84.61104;54.86594;108.5496;99.15948
43.76406;122.9973;84.5725;54.85323;108.5648;99.14948
44.76396;123.2174;85.88375;55.93953;108.6245;99.14938
39.72604;121.0161;82.51604;51.66;110.4146;99.14792
44.9749;123.7451;87.07375;56.0188;109.21;99.14771
44.94625;123.814;86.77479;55.9849;109.2101;99.14271
37.32661;121.2454;85.40458;49.23656;109.6601;99.14156
39.94839;122.8337;86.85416;51.55177;109.5879;99.14031
37.89307;121.8597;78.73666;49.14016;111.913;99.1325
47.37583;126.6783;81.81333;58.42646;110.4527;99.12823
44.87042;123.1939;85.83958;55.94167;108.6085;99.12729
43.92682;122.9748;84.66792;54.84495;108.5644;99.12708
43.99615;122.6669;84.64;54.84646;108.5472;99.12656
43.57771;123.2874;87.41333;54.9301;109.5681;99.12521
39.76776;121.0959;82.55583;51.61052;110.43;99.11854
37.15568;121.8934;79.61729;48.41807;112.7653;99.11698
43.49646;123.4085;87.12271;54.93302;109.5704;99.11448
39.61536;120.9334;82.51292;51.6788;110.4014;99.11365
44.75573;123.5352;86.37354;55.97031;108.8802;99.10958
43.69984;123.4411;87.56355;54.94068;109.4955;99.10958
37.12791;122.1306;79.48083;48.42453;112.7204;99.10521
43.54927;123.2773;87.36333;54.92766;109.5727;99.105
43.93766;123.0401;84.51563;54.87771;108.5757;99.10104
36.96995;121.9752;79.55791;48.37245;112.7385;99.0974
43.59531;123.3145;87.68188;54.93448;109.4881;99.09552
43.97469;122.7046;84.59084;54.86807;108.537;99.08885
44.80516;123.8346;87.12459;55.99979;109.1997;99.08802
43.63693;123.4011;87.18562;54.92349;109.5287;99.08542
43.66677;123.4846;87.56792;54.92984;109.4959;99.07854
43.78234;123.5015;87.53729;54.9463;109.5023;99.07323
36.39458;120.6909;78.79688;47.86401;111.2885;99.0725
32.14037;119.7467;77.3125;44.14838;114.1843;99.07166
47.40609;126.6285;81.65125;58.41844;110.4029;99.06573
43.70802;123.448;87.50396;54.94198;109.5093;99.06292
