K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T8_3.PV
30.32979;114.6087;48.82229;43.23063;107.4631
30.38146;114.5654;48.76948;43.25964;107.4942
30.34708;114.5767;48.76989;43.2551;107.5019
30.27151;114.8672;48.77708;43.23427;107.5046
30.28573;114.9218;48.77198;43.25708;107.495
30.32339;114.7746;48.75302;43.24016;107.4732
30.36766;114.8409;48.70594;43.27354;107.4694
30.27578;114.8015;48.75542;43.25755;107.4716
30.2526;114.8345;48.81458;43.22578;107.458
30.33547;114.6271;48.80719;43.21463;107.4552
30.16693;114.7192;48.7425;43.23396;107.4633
30.38625;114.5184;48.70479;43.24;107.4571
30.19844;114.4143;48.64979;43.26599;107.4724
30.27104;114.3827;48.63823;43.23734;107.4843
30.27479;114.4295;48.64969;43.23583;107.4575
30.285;114.4083;48.62177;43.24729;107.4701
30.24583;114.3383;48.57958;43.25167;107.4812
30.3324;114.3465;48.56833;43.26099;107.493
30.29042;114.4953;48.57021;43.26094;107.494
30.42083;114.5839;48.56688;43.25661;107.4769
30.32688;114.6243;48.56271;43.30339;107.4785
30.30807;114.8172;48.55625;43.25302;107.4905
30.26052;114.6206;48.54271;43.28417;107.4624
30.3674;114.5137;48.52583;43.24229;107.4825
30.25453;114.4476;48.51417;43.2374;107.4927
30.27406;114.3697;48.58375;43.23141;107.4968
30.22062;114.3487;48.61385;43.25948;107.4807
30.36672;114.3108;48.62614;43.2738;107.4833
30.4488;114.3256;48.66813;43.26677;107.4991
30.22833;114.4792;48.69135;43.29896;107.486
30.28708;114.9902;48.67406;43.26167;107.4813
30.32052;114.8709;48.67969;43.25459;107.4686
30.22458;114.6803;48.69802;43.28208;107.4766
30.31125;114.4847;48.69313;43.25677;107.4643
30.35458;114.5453;48.63354;43.27276;107.4621
30.30974;114.5415;48.62708;43.27937;107.4623
30.36958;114.5231;48.58781;43.28943;107.4798
30.2326;114.6173;48.61531;43.26656;107.4941
30.29052;114.7036;48.59802;43.27083;107.5124
30.24943;114.6509;48.59167;43.2563;107.5434
30.34734;114.5788;48.61906;43.26984;107.6205
30.30182;114.463;48.5749;43.30807;107.6528
30.31099;114.5601;48.54208;43.33437;107.7046
30.36401;114.6659;48.54552;43.27448;107.7379
30.3862;114.5883;48.5826;43.28396;107.7474
30.38026;114.7424;48.62698;43.28276;107.7473
30.27005;114.8101;48.66396;43.24646;107.7449
30.4188;114.8024;48.67146;43.25;107.7541
30.42078;114.6841;48.67292;43.29016;107.7535
30.3649;114.6701;48.69365;43.30088;107.7642
30.28391;114.6891;48.66531;43.26302;107.7548
30.31531;114.7426;48.64531;43.24375;107.7661
30.28938;114.8129;48.58656;43.25495;107.7385
30.26365;114.5947;48.61479;43.27828;107.7468
30.21182;114.4669;48.65917;43.2711;107.7492
30.24635;114.4705;48.62563;43.22839;107.7382
30.28635;114.4682;48.63667;43.2224;107.722
30.22958;114.3751;48.67094;43.23687;107.6921
30.27943;114.4185;48.64667;43.25729;107.6771
30.36745;114.4633;48.66802;43.28167;107.6546
30.26297;114.3091;48.70948;43.25198;107.64
30.17339;114.359;48.72167;43.28703;107.6302
30.3562;114.7045;48.76208;43.27156;107.6211
30.2825;114.662;48.77271;43.21333;107.6035
30.25818;114.4516;48.78156;43.23849;107.6019
30.37005;114.3913;48.73323;43.26937;107.5895
30.30214;114.3452;48.69854;43.26776;107.6148
30.21318;114.3831;48.67177;43.29281;107.6282
30.26547;114.5192;48.66187;43.27089;107.6319
30.26172;114.4654;48.68708;43.24203;107.6091
30.36865;114.3063;48.69417;43.25708;107.6223
30.38141;114.379;48.75948;43.21229;107.6317
30.42068;114.461;48.76823;43.29042;107.6283
30.35568;114.5455;48.79146;43.24984;107.6162
30.26328;114.4534;48.76323;43.2299;107.5986
30.39255;114.5097;48.72083;43.23865;107.6019
30.39562;114.5276;48.76396;43.25073;107.5794
30.30313;114.3757;48.77615;43.21609;107.5483
30.16537;114.4118;48.75594;43.23255;107.5339
30.2176;114.4436;48.72031;43.26641;107.4794
30.37839;114.365;48.7576;43.22823;107.478
30.31589;114.4248;48.77375;43.22401;107.4586
30.3937;114.3774;48.72042;43.22526;107.4272
30.36583;114.2368;48.71677;43.22104;107.4315
30.14865;114.4173;48.69802;43.2012;107.3982
30.29297;114.4626;48.71104;43.20807;107.3781
30.18651;114.3582;48.73708;43.20536;107.3728
30.30984;114.3278;48.72146;43.21667;107.3742
30.1499;114.287;48.68521;43.21786;107.3722
30.27073;114.3317;48.6651;43.22078;107.3789
30.2199;114.3016;48.66459;43.1763;107.4143
30.34349;114.3946;48.63219;43.22833;107.4554
30.32016;114.3747;48.61917;43.23854;107.4556
30.16396;114.4885;48.63823;43.25057;107.4708
30.37729;114.3749;48.67208;43.285;107.4652
30.35875;114.5541;48.71208;43.21922;107.4604
30.28302;114.6413;48.7401;43.21198;107.4411
30.37828;114.5771;48.7976;43.22573;107.4293
30.39859;114.4909;48.77906;43.22365;107.4229
30.33667;114.345;48.77594;43.26224;107.3971
30.40339;114.3101;48.76156;43.2574;107.3849
30.28354;114.3468;48.78292;43.26234;107.3705
30.39531;114.3993;48.79437;43.24656;107.3492
30.42115;114.2508;48.81656;43.2324;107.3403
30.37911;114.4204;48.86646;43.2238;107.3469
30.43542;114.7243;48.87646;43.23052;107.3651
30.37234;114.6599;48.87542;43.22594;107.3697
30.37875;114.4415;48.86094;43.21912;107.3642
30.33885;114.3036;48.85802;43.21964;107.3635
30.36297;114.2496;48.85906;43.22531;107.3623
30.42594;114.5369;48.88885;43.20417;107.3601
30.48562;114.5173;48.88198;43.20146;107.3467
30.52729;114.5527;48.89812;43.23037;107.3428
30.46266;114.469;48.88094;43.22422;107.3278
30.38333;114.5445;48.8975;43.24979;107.3269
30.40745;114.517;48.89115;43.2401;107.3277
30.26104;114.6129;48.87865;43.21474;107.3238
30.37589;114.7057;48.86656;43.24781;107.347
30.29396;114.6578;48.86135;43.2099;107.3493
30.40526;114.5074;48.83562;43.21463;107.361
30.375;114.4597;48.78344;43.21203;107.3551
30.51474;114.5091;48.75823;43.2289;107.3545
30.41531;114.5464;48.78646;43.25536;107.3411
30.46719;114.5881;48.79625;43.24781;107.3354
