K5P5_2.PV;K5BSB_2.PV;K5Q3.PV
-40.37096;56.24682;1.02588
-40.4418;57.29849;1.026052
-39.68346;55.86281;1.026052
-40.95274;56.3362;1.026089
-39.06771;56.35969;1.026276
-41.40326;56.07813;1.026323
-39.93125;57.62349;1.02637
-37.08932;55.86719;1.026516
-40.33815;56.04313;1.026609
-38.82435;55.28036;1.026651
-40.2237;57.69083;1.026734
-41.40781;57.20271;1.026953
-40.53959;56.75286;1.027052
-40.98099;56.63635;1.027068
-40.14336;55.95203;1.027115
-40.48307;56.60094;1.027125
-39.22044;57.11021;1.027245
-37.9151;56.77526;1.027526
-38.69193;55.87854;1.027583
-39.55286;56.06349;1.02762
-37.08776;56.63755;1.027651
-41.35091;56.82099;1.027682
-39.83281;56.38401;1.027703
-40.51081;56.89281;1.028005
-40.62487;56.52745;1.028453
-40.58307;56.7163;1.028458
-39.98659;55.53989;1.028552
-39.08099;55.99385;1.028698
-41.87409;56.44239;1.028891
-39.69922;57.07021;1.028932
-39.37865;57.06911;1.028948
-39.80182;56.68167;1.029073
-37.36979;55.85422;1.029229
-39.08945;56.52312;1.029229
-37.1095;56.25474;1.02926
-41.29649;57.52766;1.029375
-41.02773;56.39656;1.029505
-40.41914;57.34417;1.029573
-40.19036;57.16953;1.029604
-40.32695;56.14703;1.029682
-40.12448;57.77547;1.029995
-40.67487;56.90453;1.03001
-39.53698;56.97052;1.030073
-39.60625;57.01776;1.030099
-39.02813;56.54932;1.030151
-39.10378;56.44656;1.030255
-40.05247;56.9188;1.030286
-40.75612;56.36485;1.030396
-40.15846;57.33573;1.030432
-39.13503;57.21068;1.0305
-38.53346;56.41229;1.030719
-39.01849;57.85484;1.030745
-39.55352;56.07828;1.030792
-40.07253;56.22193;1.031198
-40.53607;56.59896;1.031292
-39.52187;57.14833;1.031349
-37.68229;56.79495;1.031578
-41.20664;57.57245;1.032057
-39.25299;56.38875;1.032104
-39.66133;55.90875;1.032323
-41.41081;56.29849;1.032391
-39.97187;56.83385;1.032411
-39.51471;56.45995;1.032505
-39.20964;57.36917;1.032578
-39.63958;56.17047;1.032703
-40.80534;57.34781;1.03274
-40.57344;57.26943;1.03275
-39.34818;57.24578;1.032984
-40.09948;57.31052;1.033021
-38.71901;56.11167;1.033021
-39.44375;55.75526;1.033057
-37.90469;55.84229;1.033083
-41.6112;56.30448;1.033162
-39.64648;56.53792;1.033213
-38.56524;56.66943;1.03337
-39.58294;56.04515;1.033391
-39.44453;56.33698;1.033521
-41.18516;56.97573;1.033734
-41.02214;56.8363;1.033833
-39.29713;56.39005;1.034052
-40.04987;56.9924;1.034073
-37.55065;56.22729;1.034109
-40.16367;57.29651;1.034115
-40.08867;57.29214;1.034266
-39.91471;56.23078;1.034344
-40.09935;56.71437;1.03437
-39.56979;56.56578;1.034401
-38.70221;56.32214;1.03449
-36.9793;55.50677;1.034573
-38.71875;56.28375;1.034583
-36.69584;56.50807;1.034641
-40.3401;56.48802;1.034698
-40.71068;56.11307;1.034891
-39.16367;56.69599;1.034896
-39.96055;57.74511;1.034927
-40.17865;56.16005;1.035005
-36.08242;56.45609;1.035109
-40.41862;56.69917;1.035167
-39.88906;57.07776;1.035182
-40.65078;57.19109;1.035354
-38.62318;55.92609;1.035385
-40.39648;57.11667;1.035453
-40.20586;56.38865;1.035609
-40.61315;57.0136;1.035776
-40.29779;57.40755;1.035875
-40.5276;56.38526;1.035958
-40.26823;56.79146;1.035979
-37.1819;57.2112;1.036198
-39.80235;56.29401;1.036234
-40.24206;56.65292;1.036318
-40.08672;55.62375;1.036359
-39.66758;55.90099;1.036411
-38.0082;56.19901;1.036469
-40.37604;56.93563;1.036609
-41.11523;56.29068;1.036661
-36.9125;56.13609;1.036729
-39.09935;56.98958;1.036786
-38.14075;56.64781;1.03688
-35.67318;56.58469;1.036958
-40.79023;55.53542;1.037063
-39.68841;56.51057;1.037151
-37.58776;56.56651;1.037411
-38.87305;55.95854;1.037542
-40.60182;56.88005;1.037672
-40.48555;57.39849;1.03776
-41.71133;57.15406;1.037901
-39.89596;56.02823;1.038047
-39.64297;55.79641;1.038224
-40.52174;55.52349;1.038302
-40.36654;56.87599;1.038406
-39.22435;55.16109;1.038521
-38.92695;56.93693;1.038552
-38.91211;55.92302;1.038698
-39.16211;56.74198;1.038818
-39.10534;56.28552;1.038859
-41.18841;56.69912;1.038953
-40.14479;56.54083;1.039005
-39.26484;57.27;1.039141
-38.95404;55.71188;1.039219
-39.25807;56.70354;1.039224
-36.58763;56.25234;1.039349
-38.65078;55.86958;1.039432
-39.86758;56.49167;1.039604
-39.75859;57.16161;1.039729
-37.88698;56.05026;1.039807
-39.71823;55.78912;1.039844
-39.90716;55.87156;1.039932
-40.24036;57.15385;1.040167
-39.80885;57.41401;1.040229
-41.4237;57.00245;1.040271
-40.43945;57.65693;1.040307
-38.75312;56.17047;1.040401
-39.38594;57.2825;1.040458
-37.76575;56.16427;1.040521
-40.38047;57.60891;1.040594
-40.01537;55.45864;1.040604
-39.45325;55.81255;1.040682
-40.02565;56.81844;1.040844
-38.62474;56.29396;1.040865
-38.90364;56.4424;1.040953
-39.60482;57.27521;1.041172
-39.86771;57.13839;1.04126
-41.31263;57.88281;1.041286
-37.05495;56.73188;1.041286
-39.47513;57.03724;1.041359
-38.95794;56.56932;1.0415
-38.70443;56.06651;1.041547
-38.68958;56.82547;1.041703
-39.57917;56.01406;1.04175
-40.11849;57.28677;1.041755
-41.12005;57.23078;1.041786
-40.14531;56.87761;1.041813
-40.06797;57.24677;1.041953
-40.22982;56.32526;1.042089
-40.11745;57.55791;1.042214
-38.75104;56.79818;1.042443
-39.11029;56.35386;1.04287
-39.67435;55.61344;1.042901
-38.25547;56.20417;1.042984
-40.11576;56.27396;1.043094
-39.2987;56.18813;1.043135
-39.29023;56.38531;1.043307
-40.55534;56.36958;1.043349
-39.04922;55.93896;1.043359
-40.2086;56.6512;1.043437
-36.3375;55.80557;1.043469
-40.21849;57.32432;1.043547
-36.06354;56.10094;1.043589
-40.47552;57.05333;1.043599
-41.20833;56.26443;1.04374
-37.60039;55.98375;1.044031
-40.20508;56.84448;1.044146
-39.9931;56.61891;1.044208
-40.35677;56.31177;1.044214
-39.9944;57.64422;1.044328
-39.58451;55.76526;1.044344
-37.78099;56.17646;1.04437
-39.47161;56.1326;1.044438
-40.46328;56.84089;1.044542
-41.1806;57.3675;1.044792
-40.24141;56.95849;1.044896
-39.1763;55.84391;1.044927
-41.72539;57.11766;1.045234
-40.38034;57.15136;1.045255
-39.68008;56.85188;1.045365
-42.02031;57.56078;1.045401
-38.94844;57.25042;1.045427
-39.41185;55.92516;1.045526
-40.0668;56.86682;1.045594
-40.76406;57.20385;1.045734
-41.01966;55.81161;1.045786
-41.01953;56.32672;1.045797
-39.01797;55.93099;1.045802
-41.85365;57.20615;1.045839
-39.01094;56.3539;1.046031
-40.16875;56.94188;1.046062
-40.83307;56.78484;1.046089
-37.2806;56.3337;1.046193
-41.14388;56.80266;1.046208
-40.11263;57.52698;1.046276
-38.96159;56.73995;1.046339
-40.33594;56.92401;1.04637
