K5L1_3.PV;K5F5.PV;K5F6X.PV
-3.785906;29.05334;23.2488
3.783281;22.1999;18.41483
3.782953;25.40652;18.02299
-3.781969;24.99239;19.62904
3.780656;29.75988;20.71882
-3.78;28.74366;22.41931
3.779016;24.15653;19.40261
-3.778687;24.16436;18.31098
-3.777703;30.23522;21.2215
3.777703;24.67828;19.48698
-3.777375;32.38391;24.23082
3.776062;24.07902;19.1663
-3.775734;24.04289;18.42962
3.775078;23.82116;19.35891
3.773766;26.89977;21.96395
3.773438;23.95803;17.88364
3.773109;35.64103;28.52873
-3.772781;27.10371;19.66747
-3.770813;26.28068;19.44504
-3.770484;29.19959;22.29317
-3.770484;27.21146;20.93953
3.770484;33.41417;25.75504
-3.7695;28.68663;22.44833
-3.769172;27.03104;19.80745
3.768844;23.73279;17.91753
3.768188;22.58535;18.11304
3.766547;24.27838;18.93376
-3.766219;26.29712;19.7649
3.765891;25.15345;18.84268
3.765563;23.88109;18.77192
-3.765234;38.77909;31.62195
-3.765234;24.81994;18.55022
3.765234;24.26447;18.22253
-3.764578;29.77221;21.55676
3.764578;40.2221;30.98221
-3.76425;27.56903;19.78633
-3.763594;28.41361;19.98387
3.763266;25.73276;20.07475
3.762609;23.21093;19.42085
-3.762281;25.34016;19.82939
3.761625;22.45619;17.67818
3.761625;26.47923;22.10632
3.760313;23.84199;19.12716
-3.759656;25.44935;18.32389
3.759656;22.80663;18.8674
-3.759;29.61324;22.81444
-3.755063;35.77663;28.13599
-3.755062;25.07238;18.07764
-3.753094;24.48614;18.31386
3.753094;30.82334;24.14348
3.749813;24.19414;19.05371
-3.749484;29.2487;21.62362
3.749156;25.65374;19.46513
3.745875;32.7667;27.40572
-3.745547;35.6016;27.70387
3.745547;24.68966;20.72719
-3.744562;24.74537;18.79741
3.744234;23.68638;19.4283
3.742594;24.97956;19.18723
-3.741609;22.52639;18.87156
-3.741281;25.22321;18.22601
3.741281;23.45528;19.52709
-3.740625;28.51506;22.04221
3.739969;27.66187;21.38195
3.739969;36.62282;29.59764
-3.739312;26.37971;19.63386
3.739312;23.34468;18.25305
-3.738984;38.63381;30.07638
3.738984;25.1071;19.58513
-3.738656;26.08597;19.30746
-3.736687;24.82253;18.54736
-3.736687;24.43503;18.35199
3.736359;24.12526;19.26772
3.736031;25.72594;19.40991
3.735375;24.45748;18.97186
-3.735047;25.53551;19.59962
-3.734062;24.43918;18.63114
3.733078;26.65224;21.80747
3.733078;24.97283;19.01995
-3.732094;28.59116;22.16825
-3.730125;25.72404;19.70374
-3.730125;25.16355;18.30126
-3.729469;23.83264;19.02872
-3.728484;33.89494;26.93202
-3.728156;35.35147;26.7366
3.728156;34.32523;28.62118
3.7275;22.39893;17.52105
-3.727172;27.0572;19.77311
-3.726187;28.11119;22.28625
-3.726187;33.69764;26.31926
3.723562;35.51142;27.98454
-3.722906;24.51121;18.69542
-3.722578;24.86007;18.35969
-3.721922;25.39198;19.84932
3.721266;26.81896;21.45916
-3.720609;26.32342;20.4933
-3.720281;27.11193;21.53989
3.720281;23.90175;17.97017
-3.719953;26.38303;20.30746
3.719953;24.45609;18.21371
-3.718313;26.70525;20.00571
-3.717984;26.5523;19.97587
3.717984;25.20923;20.21837
-3.717656;24.14152;18.47675
-3.717656;28.82848;22.36769
-3.717328;27.56761;20.47348
3.715359;24.00608;19.15765
-3.715031;24.68377;18.45178
-3.714703;24.16679;18.17947
3.714047;24.59306;19.55422
-3.713719;26.50056;19.79146
3.713719;23.99649;18.25909
-3.711094;24.42027;18.42266
3.710109;23.96779;19.55094
3.709453;33.47363;25.57695
3.709125;25.46069;21.87856
3.708797;23.87662;18.13035
-3.708141;24.23502;18.53801
3.708141;24.83921;19.58283
3.708141;23.95748;19.27698
-3.707813;29.60191;22.02811
3.707484;24.6477;19.64242
3.706828;38.39924;31.66302
-3.705844;26.13277;19.51187
3.704531;32.79632;25.99149
-3.704203;26.79536;19.86425
3.701906;24.95256;19.62227
-3.70125;37.41785;30.66289
-3.70125;34.07149;25.45349
3.699938;37.27064;29.84398
3.699609;23.76389;17.91079
3.699609;26.40205;21.05026
-3.698625;27.03996;19.35368
3.697969;31.42734;26.08369
3.697641;34.17033;25.39979
-3.697313;25.60617;18.3857
-3.696984;28.66254;22.63187
3.696984;24.42597;19.30523
3.696328;25.76249;17.78939
3.696;27.2378;22.05188
3.695672;25.259;19.26731
-3.695344;26.23269;19.76683
3.695016;25.62726;20.3243
3.693375;23.52565;18.01517
3.692719;22.50849;18.14255
-3.692391;27.81639;19.76945
-3.691734;30.83808;21.43686
-3.691734;26.92282;19.37328
3.69075;28.02761;21.73233
-3.688453;25.17452;18.13569
-3.688125;35.65172;28.51483
3.687141;23.06353;17.96265
-3.686484;35.92545;28.60793
